,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
PF3D7_0208600,39.01666141,32.17401697,28.6262,21.04260318,14.68030211,6.65641,4.346375831,3.80037641,4.23342,9.593207235,17.54616864,26.67335,36.9870822,43.10998657,46.7618,52.33762567,63.12273456,71.93801728,71.64890684,52.9963
PF3D7_1427300,4.567839313,7.739346357,13.319255,23.11070387,32.108033,39.0358,44.597619,46.79403116,47.80691002,48.17725822,47.9692,39.25434799,29.33889304,22.4693,20.20305813,17.37427345,8.193105,4.34258155,3.256151299,3.007895
PF3D7_1470800,39.7027886,46.53650553,51.76664166,54.05159823,53.5474,42.49797891,31.46992521,24.1278,18.41229525,14.49449953,6.99953,3.606120324,2.760459782,3.044715,5.090411893,8.377839364,12.6868,17.69396419,23.57608596,30.48405
PF3D7_0727500,22.5717,14.92934381,10.3574501,8.26527,7.265189994,6.444204948,3.6531105,2.428696347,2.282584769,3.469595,7.453448483,10.58765554,12.6567,16.71252487,19.55998013,21.47795,26.94097735,29.69123511,29.59058132,28.18389591
PF3D7_0724600,25.408911,19.9128,13.17234776,9.329877093,8.776905,7.022850963,5.840467923,5.19766,5.325234546,5.879926562,6.91639,9.540994238,12.32207083,15.0526,19.76971991,22.84742054,25.14550593,31.43652801,37.4349,31.89404463
PF3D7_1477000,1.544626263,1.354130957,1.282276367,1.265843882,1.324681,1.40463798,1.565274013,1.999502,7.22696501,14.81108681,70.09765,140.3501247,205.447765,240.292,177.4991878,96.65426056,33.584,10.39958726,3.847840985,2.16605
PF3D7_1325800,23.23540349,30.74232639,34.34055,35.83768321,30.4123703,18.16495,9.116305953,5.807109453,4.753040393,3.131623926,2.16281,2.2104471,2.356210876,2.65818,2.892563045,3.158113075,3.153975,4.045084255,6.248777449,11.765465
PF3D7_1136500,535.5935988,443.4573162,405.352,343.2610431,302.0170607,282.345,286.3482564,298.1570763,322.626,362.3204201,419.5453429,443.8618602,548.2814471,786.823,1180.673918,1501.46167,1683.74,1712.852639,1542.46174,777.197
PF3D7_1427900,164.4352872,122.5428301,73.62685,85.53110804,104.2986049,134.1055,162.5462226,206.6339711,278.8185,421.5945673,535.4283671,608.559,688.5855202,762.2428851,771.6109425,741.3893055,580.843,385.4674095,278.6458449,227.99
PF3D7_1201200,16.80950931,12.2079,8.478420538,5.949898665,5.597275999,7.931227135,24.6638,115.7040661,202.6699031,284.525,1449.708832,1975.872298,1754.84,1062.113558,571.5491839,336.7305,181.1478908,93.67432999,46.60545,25.98216355
PF3D7_0705500,377.7578148,357.043,378.5383998,427.6628594,431.5735,297.812999,216.7476931,178.996,131.5557831,92.57699571,65.6423,46.59549247,43.85562565,50.34885,65.81164539,76.4758366,91.39514968,147.7382782,251.081,360.4131318
PF3D7_0320000,48.8668,82.24604967,111.6985091,135.165,156.6921619,187.5345953,228.5990754,233.82146,167.882,107.2065065,85.54349382,79.0117,56.51363751,41.25617884,20.669145,9.283717795,6.255692511,6.71786,13.40644626,26.49448961
PF3D7_1355100,11.33304345,23.98273893,45.94525,74.84711568,104.3760357,132.8915,163.799256,195.3440522,216.1350861,233.5327348,238.272,172.2912145,140.8803572,134.258,92.1247126,61.07286452,25.249585,9.773711589,5.62136846,5.45363
PF3D7_1417800,100.0243,66.57305012,46.56606485,20.533275,8.036841796,4.398251386,4.133895,7.262644476,14.71704006,29.70965,57.45639367,87.56945074,116.071,143.6158608,183.1794102,211.7802607,223.4387963,212.316,156.6981905,118.7860031
PF3D7_0202200,6.04291957,4.584205,3.459338571,2.996226333,3.117551555,3.439523159,4.13218,28.91813257,57.46205312,89.5498,568.9942261,1238.486469,1502.57,905.5339416,459.9288755,249.4525,118.3585682,53.53401303,22.93125,10.28607425
PF3D7_1333000,21.1300147,33.83548782,52.38985,68.5721581,79.77739804,87.35915,93.51079582,93.8214541,88.5331,78.29877396,74.79971695,67.99613795,49.47405657,27.844,16.69511894,14.72036667,14.8777,12.86466296,12.6610822,14.0253
PF3D7_1319400,45.96961944,60.49045,77.43517645,98.87920972,114.8719527,133.3519733,140.987,115.8489913,84.08560971,58.0484,42.71175185,34.16683888,18.384115,9.344339672,5.76196488,4.869215,6.35344057,9.798475594,17.358,31.13433744
PF3D7_1249500,25.70285,41.18639599,56.21531581,69.4498,87.5565401,103.8540631,98.55734842,90.50888223,83.635,59.43686306,44.62144268,37.953,29.14576204,21.75987667,9.763775,4.314468933,3.223697895,4.865025,8.545506041,15.05115436
PF3D7_1147300,25.27764651,13.612385,6.349166021,4.364447918,5.7809,11.53533105,20.71263863,32.7507,44.03981903,55.81914877,67.5481,78.49564425,91.62413909,95.36381954,96.03392063,90.5932,71.15218937,51.6787471,37.7814,29.44963065
