,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44
PF3D7_1310200,2.78174,5.161399467,15.00197255,52.6253,213.1910156,337.9845269,319.8415,216.7710538,141.7821662,57.670515,22.65239558,9.479701266,4.84912,3.142553948,2.283009075,1.749309,1.181222496,1,1,1.13750139,1.359204689,1.672513,2.273159527
PF3D7_1305100,17.4356,24.93555194,28.94652977,30.3787,30.19418245,24.35237006,9.18198,7.785834044,6.314917445,2.486703,1.517060246,1.218266981,1.1286636,1.113506279,1.089871569,1.0287671,1.059075907,1.108208433,1.355953,2.538310237,5.11377844,9.6997,14.63811047
PF3D7_1451100,990.896,854.6107576,736.0460368,611.943,422.3809744,288.895825,240.5455,413.4184389,654.1461753,899.6675,1107.557955,1260.840134,1384.655,1753.213582,1831.357054,1649.93,2021.465733,2334.049112,2140.82,1697.981162,1491.220395,1420.08,1128.29279
PF3D7_0511000,498.646,493.1648056,477.0737803,427.95,350.92012,225.3086968,102.9433,116.5598201,154.3273544,244.575,302.7186029,353.820763,404.0215,491.1310643,541.8012557,587.5345,779.1647997,929.7852131,851.647,763.2807351,639.7203641,518.371,502.9929109
PF3D7_0614400,65.9934,49.64385828,41.39926561,38.4203,29.80235309,26.33902905,26.11185,36.9083055,57.10656956,82.2536,99.97221162,122.7000573,147.765,163.4862531,182.7240753,214.928,304.3430568,342.3225393,286.771,182.6173216,108.3918969,73.2165,68.52621416
PF3D7_1403900,97.3637,84.70372948,72.69606598,58.5659,43.45881182,26.69672934,12.273565,8.314942119,7.010142665,5.32776,7.387993038,11.45199675,18.19885,28.35575072,38.61781637,52.9829,118.8802903,195.3901735,273.48,305.7992801,282.5177527,172.345,113.896749
PF3D7_0201600,52.1686,27.48259588,15.46000227,10.12242,10.82262741,8.265967037,4.77143,7.019695015,12.47882641,21.664,28.26291518,36.5713753,48.54485,70.33494614,99.67944752,159.1415,430.5002082,741.2560061,1077.45,800.2968506,431.3549177,143.975,71.59393474
PF3D7_0622200,28.6455,23.54573744,19.28098085,15.1715,11.53912978,11.07561543,13.40064,25.38727024,40.92974767,56.46715,63.86620971,71.28531943,80.1967,94.15184358,100.677448,102.828,97.19343585,93.16046604,91.5675,81.63913428,69.08466988,55.7965,35.6842953
PF3D7_1215300,367.581,215.3302816,115.4564625,57.2699,35.97325962,24.40435226,12.9594,7.036279534,4.616520944,3.66224,3.020625404,3.239096427,5.07586,9.374082526,16.35732232,29.69125,70.57172471,124.4146338,201.976,478.0011588,616.2654811,649.74,476.2936121
PF3D7_1340600,66.5904,60.44382068,52.03838996,39.8744,33.51510039,22.23932285,12.9369,12.61230867,15.08451474,21.0076,24.1458406,27.7728189,32.8399,42.86538168,50.70303847,58.1505,87.30216926,121.2002917,152.099,177.8115802,170.5466183,118.369,78.05769687
PF3D7_1344800,65.868,54.51034896,43.33109258,32.3374,19.21323319,11.47501097,7.947695,6.331111213,7.252438992,11.8015,15.56383433,21.30044579,29.19185,33.64975269,38.78618375,46.5117,62.96399493,87.66078342,99.5185,99.24023765,95.40994817,81.3941,71.08245266
