ID_REF	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
10359571	4654.6	4276.20625	4125.1	4240	4354.9	4318.609311	4261.1	4228.020322	4183.6	3963.520367	3776	3862.593034	3992.4	4085.956966	4136.3	4122.75	4109.2	4279.014976	4461.8	4482.285024	4489.8	4450.3	4410.8	4459.65
10360631	167	173.5736322	180.7	190.5451178	196.7	186.9	177.1	189.5303853	209	225.1196147	234.2	216.95	199.7	203.6	207.5	206.15	204.8	206.3	207.8	202.9483871	195	188.1139506	183	180.7065813
10367641	124	114.8705357	110.5	110.2446987	110	107.4740129	104.1	101.8607527	100.7	104.3219723	111.3	118.6403329	129.6	155.927837	188.3	218.2098578	235.1	233.0999343	227.8	196.4277377	159	143.7485215	133.3	125.3564574
10370931	891.6	852.9875	835.5	835.85	836.2	802.4	768.6	809.7	850.8	850.15	849.5	891.35	933.2	925.35	917.5	1011.01567	1120.5	1147.43433	1158.4	1126.8158	1070.8	1012.266227	960.3	934.2370086
10371400	299.3	342.44375	358	341.8820679	313.4	288.2126023	257.9	208.0128356	163.3	140.4924941	130	135.0739344	147.1	180.0297126	221.5	254.9534958	274.6	277.2428571	278.2	275.3	272.4	276.3003509	283.6	291.2873713
10371959	1077	1070.89375	1068.2	1068.430973	1069.1	1080.23553	1102.1	1142.233497	1171.2	1166.362621	1153.8	1080.987379	1015.9	1031.3	1046.7	988.45	930.2	960.85	991.5	960.15	928.8	952.1001186	984.8	999.0559532
10372130	249.6	253.5619403	257.1	260.8755597	263	256.3381818	243.8	225.7118182	213.5	218.42525	223.4	223.4498795	223.5	233.1248705	242.7	230.75	218.8	234.55	250.3	249.95	249.6	254.7822449	263	270.0677551
10378482	232.4	237.3	238	229.55	221.1	229.95	238.8	227.924031	215.8	213.775969	213	214.8	217.5	219.45	220.5	207.9	195.3	198.75	202.2	199.65	197.1	208.5614325	223.6	230.2885675
10378848	2584.4	2410.195059	2284.9	2194.136191	2149.9	2369.95	2590	2316.261417	1969.2	1836.538583	1777.2	1856.1	1935	1890.804695	1822	1766.095305	1734.8	1760.067357	1825.3	2161.094506	2509.7	2598.488136	2634.5	2628.938093
10379968	152.7	141.9875	137.3	138.3	139.3	137.6791223	134.2	126.7384273	120.5	119.4824503	119.1	123.2070281	130.4	138.7429719	144	142.5	141	143.7	146.4	142.95	139.5	144.6891304	151.9	155.9108696
10381006	1076	1156.804828	1216	1249.696133	1282.6	1345.992472	1408.4	1443.509748	1470.5	1498.234318	1513.3	1409.95	1306.6	1311.2	1315.8	1262.890616	1192.5	1168.600338	1143.7	1058.259046	991.3	1017.75	1044.2	1024.7
10388938	870.5	990.2375	1037.8	1000.05	962.3	986.3085956	1019.8	1038.691404	1048.1	1027.85	1007.6	1018	1028.4	979.6291051	901.4	841.8822338	791.5	759.9766898	727	649.0619713	592.9	672.7499496	764.3	777.8570428
10394538	759.5	824.35625	849.7	832.4167523	804.2	777.6832477	762.1	772.2316372	787.9	800.3683628	807.3	725.652757	629.1	608.9321431	593.3	563.4650999	544	567.75	591.5	573.55	555.6	637.4455512	724.1	729.6248435
10395259	904.8	924.43125	928.9	911.6311873	879.9	837.3688127	809.3	824.25	839.2	822.2	805.2	834.4774648	872.8	886.2706716	897.5	914.8348276	927.8	931.917036	933.6	914.2379902	894.2	893.5044011	892.8	860.9576087
10395805	3302	3377.24375	3398.8	3331.274814	3259.7	3255.440795	3251.1	3143.784391	3040.6	3046.857204	3064.3	3269.392796	3463.3	3405	3346.7	3444.3	3541.9	3535.332614	3519.4	3467.585005	3407.6	3383.519269	3356.5	3243.213112
10397518	836.2	757.1291418	706.9	680.2333582	668.4	735.65	802.9	736.1068357	655.5	631.5931643	621.5	659.35	697.2	692.3943348	680.4	626.9556652	580.7	599.2718987	640.1	731.068281	817.7	849.1098202	862.6	843.5080808
10399478	484.5	479.7375	478.1	481	483.9	455.35	426.8	460.8	494.8	477.9	461	514.9992456	572.6	578.2507544	580.3	572.75	565.2	591.1	617	561.6	506.2	511.25	516.3	491.8046854
10399680	183.8	143.4867106	117.7	103.7320394	97.5	106.85	116.2	100.95	85.7	86.62258065	89	98.01126985	113.6	137.6978559	159.9	169.2689796	176.6	184.6805834	192.7	201.4466898	208.9	214.4220408	217.2	195.8852286
10401138	905.5	893.9108369	875.5	838.8141631	812.3	815.35	818.4	798.9977556	770	749.3022444	738.2	770.2271458	811.2	827.5228542	834.9	828.4	821.9	838.6	855.3	828.5	801.7	844.3517891	893.3	903.7482109
10402615	2497.3	2337.665795	2216.3	2117.821705	2067.9	2285.85	2503.8	2239.900113	1908.1	1786.199887	1732.2	1808.25	1884.3	1831.609091	1760.1	1723.690909	1706.1	1733.528615	1802.8	2109.159026	2424.6	2510.962359	2546.4	2543.388849
10404700	1314.4	1349.3125	1354.3	1293.1	1231.9	1249.75	1267.6	1135.40793	1001.1	997.8920698	996.8	1078.775911	1162.8	1165.924089	1167	1159.75	1152.5	1209.70797	1272.7	1281.9920300000001	1285.5	1266.45	1247.4	1290.85
10406598	1020.1	1020.7125	1020.8	1004.7	988.6	997.8	1007	993.4	979.8	1035.164534	1097.1	1105.515231	1111.9	1125.920235	1135.4	1093.1	1050.8	1083.65	1116.5	1058.25	1000	1050	1100	1044.55
10407591	180.1	177.1147599	170.9	156.0977401	144.7	150.7883721	158.3	160.8116279	161.9	152.2623574	140.6	137.0876426	135.6	141.2124183	148	149.4755662	150.9	156.4620155	160.9	156.2	151.5	168.5	185.5	176.25
10409278	147.8	182.3741297	199.6	201.4657096	203.1	211.0039106	217.5	187.8977861	144.1	114.4451954	97.8	96.54046259	95.3	77.59460463	60.2	58.87195122	58.4	65.97736318	75	76.66464995	78.5	96.20000966	120.7	135.9161572
10410644	124.2	129.475	130.7	125.2262162	117.8	114.9212197	112.2	106.3025641	102.2	102.6587156	103.8	107.6225678	113.1	118.9687166	122.5	114.55	106.6	109.8	113	110.65	108.3	116.7860656	125.7	126.180261
10412921	137	135.5745833	134.1	132.6864057	131	127.489011	125	126.85	128.7	124.6	120.5	120.8862319	121.8	124.8637681	127.4	126.35	125.3	126.9673913	130.5	136.3763823	143.7	152.0062264	157	150.4495833
10426042	318.4	326.075	329.5	329.15	328.8	332.55	339.3	347.1	353.3	355.75	356.8	334.48	307.2	300.6003714	294.8	280.0696286	269.5	271.6	273.7	259.5	245.3	275.95	306.6	306.52275
