,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52
PF3D7_0509600,31.39435982,31.4254634,29.9477,26.91688388,24.64399499,22.9705,15.35662358,10.92544434,11.781235,11.00780067,9.833684271,8.45757,8.030263002,5.446689902,4.14627,3.727801309,3.713644051,4.00024,4.442288858,5.063495033,5.97509,7.841410351,10.04399572,12.3783,14.68175974,20.35504717,29.452
PF3D7_0519600,26.2783479,22.20249142,17.8956,17.60732986,17.56347109,17.5591,14.94855238,11.22268801,10.451465,9.230105674,8.540626177,8.631125,9.987009897,13.34992788,16.7731,22.10508433,22.85722593,21.3033,24.4461312,27.34159843,28.6968,26.85554074,26.59662615,28.9471,37.32046274,37.57070983,29.3373
PF3D7_0608200,9.554527085,16.1732325,26.3118,22.83276296,25.40684444,36.2404,21.27202963,16.78337037,16.44435,13.23469842,9.061179467,5.674225,5.851488949,3.036065355,2.17138,2.23238,2.210789582,1.993744,1.634036937,1.868698889,2.80451,2.483576667,2.654148734,3.89453,4.86942884,5.949593952,7.31158
PF3D7_0208500,11.11577757,25.96103354,44.337,42.6407037,43.3302268,49.8137,60.54228431,59.76673436,47.0545,39.02026451,30.50489563,21.92025,16.12612249,7.167221601,6.95496,6.22161244,5.358847852,4.53633,3.747185918,3.625180473,3.91887,5.241292861,5.487067778,5.02909,6.660712222,6.71712963,5.2467
PF3D7_1460800,4.306841529,5.511249474,6.63546,7.529583563,8.473689888,9.56924,11.33576104,10.64130259,8.45774,7.963398469,6.984480897,5.612245,5.447495462,3.265154984,2.23998,2.089655168,1.899776745,1.68571,1.661152601,1.670883883,1.746066,1.898222641,2.167161772,2.44826,2.298622963,2.398978209,3.1834
PF3D7_1148900,1241.963197,579.2748635,270.247,111.1069556,94.81059259,127.482,53.77518519,42.65558338,94.20025,354.6600881,469.9503212,582.416,1162.62555,2679.477307,3485.27,2984.907037,3013.829814,3599.77,3602.843755,3731.2513,4471.04,6813.176612,6813.122929,4749.19,4627.556105,4095.280764,2480.84
PF3D7_0201800,514.6903685,294.8852625,167.11,83.32376406,52.18890793,39.9532,17.10309746,15.14602386,25.6312,25.16777833,28.88579349,40.71125,87.98437062,173.673088,297.861,390.4789536,410.9569034,412.348,447.9984865,510.9367741,599.482,729.0533202,757.0162963,747.1,770.9148148,776.5568514,756.708
PF3D7_0711500,74.2502271,72.05691168,62.5538,57.58586496,56.37067999,56.15,44.7478707,34.88236193,34.57495,31.21732471,27.90266499,25.21705,28.68756762,17.72719875,10.57745,11.25569921,13.33690769,17.8202,21.78681963,26.83394156,33.8259,46.82143212,51.17483058,51.9704,57.14763195,64.8589972,72.176
PF3D7_1122800,14.13717262,11.55851176,10.5955,9.768247742,9.01550321,8.35066,7.968081913,7.413859234,6.51472,7.018967329,8.04705255,9.469675,9.390700263,14.26068832,22.3923,32.89158833,40.50866489,46.2691,61.93622384,69.6280938,72.5901,84.96950407,82.90941733,58.0144,34.76984504,24.16618337,19.8845
PF3D7_1430100,19.20734938,21.91169165,30.8951,33.52751919,34.00408176,34.0245,16.04636667,12.55492222,21.7339,19.93905636,16.36191672,11.214225,7.975265919,3.942083607,3.27686,3.184380933,2.831554401,2.12382,2.102455097,2.269093161,3.319,6.72169721,9.898063712,12.3498,15.99633377,18.22336646,19.1724
PF3D7_0323100,32.87559259,31.33282609,25.0243,22.88761544,20.69667601,18.6729,18.36928598,15.9804917,12.33387,10.82117631,9.829253189,9.79894,9.261434271,6.605755014,8.07475,12.71758809,18.64804832,24.2392,27.48753244,29.85922413,32.0511,38.07956683,37.87428889,32.5674,33.57162222,33.48855556,32.247
PF3D7_1432700,16.10935298,28.4116632,61.0234,75.75247418,109.7270249,159.314,121.0577037,113.763963,96.91125,65.3578152,44.81090893,36.65015,34.77956202,14.93880946,11.6292,9.589676221,8.134464477,7.08666,6.419058319,6.306197877,6.39604,7.593704519,9.794044271,11.9438,9.448644444,9.471225475,13.4229
PF3D7_0808700,7.653207056,4.201498359,2.51175,1.774734692,1.748205185,2.02694,1.485037778,1.306147768,1.430395,1.931695746,2.065463309,2.20073,4.161931537,9.893576234,12.3324,11.77558519,12.78710249,17.0367,18.21702951,20.20740528,25.1096,47.03150717,46.2912023,22.8008,19.38683622,16.46018285,13.0211
