ID_REF	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
10354897	1325.5	1254.36875	1224.9	1234.421068	1256.4	1322.228932	1375.6	1299.75	1223.9	1254.970175	1300.9	1323.677967	1349.3	1424.101858	1481.2	1458.4	1435.6	1438.149383	1441.5	1443.000617	1443.7	1421.835798	1385.1	1352.963781
10356406	352.5	319.4125	304.9	307.8	310.7	310.61375	310.4	309.8810199	308.7	297.2052301	286.5	309.7078017	336.4	340.5531395	344.5	360.9672693	378.9	387.8217895	392	390.8648649	388	376.2829612	362.4	354.8521739
10357676	717.6	716.4748162	714.1	708.4001838	704	727.1	750.2	731.75	713.3	731.8363415	767.2	820.4136585	856.8	856.6	856.4	876.7118777	904.6	919.4381223	926.7	918.5662216	900.8	866.1560093	825.6	797.5552691
10358894	8140.2	8104.293457	8044.8	7947.7429760000005	7833	7710.913567	7639.4	7673.2	7707	7689.65	7672.3	7843.794022	8049.3	8092.281251	8132.3	8271.124727	8378.9	8184.65	7990.4	8284.259682	8580.5	8584.090318	8585.3	8434.893945
10359571	6361.9	6222.813995	6124.4	6055.623505	6022.5	6070.05	6117.6	6008.438525	5897.7	5895.311475	5894.5	5928.107871	5991.3	6071.497868	6143.5	6171.983526	6203	6317.94719	6447.2	6520.250876	6558.5	6563.862669	6565.8	6377.5
10360631	1055	1068.296307	1076.3	1078.651576	1081.4	1147.977117	1212.1	1172.5	1132.9	1170.05	1207.2	1180.991105	1135.1	1095.209463	1048.4	971.4672692	910.7	896.8397409	886.1	864.3924217	850	883.6229465	940.8	988.4838403
10367641	100.6	113.0125	116.7	106.9641509	95.2	91.68584906	90.2	90.25142857	90.4	92.52147465	97.2	109.6963275	121.4	124.5307692	125.8	122.25	118.7	124.05	129.4	126.1960366	120.1	112.6852821	104.8	97.11868132
10370931	684.7	615.7509389	569.9	542.2928111	529.6	582.75	635.9	619.1132512	587.1	538.9867488	506.1	564.0719637	638.5	661.4574689	682.3	729.1754193	765.4	769.4751793	773.5	811.2699687	845.4	828.0759994	792.1	732.6993818
10371400	200.6	188.4691602	175.8	161.351428	148.8	142.3728884	135	105.7759961	80.2	77.26802721	76.2	83.60551724	94.4	99.63725733	105.2	117.2984376	129	133.3477585	138.2	161.1583577	183.4	187.1832365	190.6	203.4194352
10371959	358.2	352.39375	351	356.747896	364.7	369.052104	371.2	360.25	349.3	351.2	353.1	345.1157847	334.2	330.3408275	325.7	294.4433878	266.9	284.8831096	305.5	309.8668904	311.6	307.15	302.7	311.9805921
10372130	398.5	412.1625	416.6	406.85	397.1	407.55	418	393.3	368.6	370	371.4	363.25	355.1	355.9862269	358.2	368.1137731	376.7	354.45	332.2	351.2417122	375	381.5526967	387.1	397.1689244
10378482	302.8	312.15	315.7	313.3722147	308	291.9277853	278.9	289.5	300.1	285.05	270	270.45	270.9	265.25	259.6	260.3132959	262.2	272.9962142	286.3	293.4404899	296.9	296.85	296.8	317.65
10378848	3453.5	3354.440011	3268.8	3181.859989	3133.9	3266.75	3399.6	3052.814976	2637.3	2534.009938	2469.6	2423.501864	2376.9	2273.773222	2201	2201.904735	2204.4	2218.202973	2253.8	2675.264086	3132	3209.746833	3267.4	3376.281373
