,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34
PF3D7_1439500,6.559093986,9.333967773,12.0155,17.67133601,32.17268018,72.83615,231.5793312,388.9116822,506.076,349.0106908,219.5668279,143.0585,84.464308,44.65385547,19.68485,8.564958607,4.611630105,3.39722
PF3D7_1253100,19.83029008,10.90770285,5.690535,4.003089169,3.249309689,2.992295,4.42615177,18.77518466,45.59085,66.63535739,81.01244279,90.10705,100.4640717,104.0922575,101.95195,85.81388768,61.04935673,34.1971
PF3D7_1372000,10.97457118,4.855444218,3.041635,2.369305523,1.897526913,1.5757815,2.053445651,4.668597949,23.17405,32.73802664,52.7634701,94.67715,163.6171386,217.3463129,245.1425,179.3296429,95.51003673,31.18685
PF3D7_0932100,4.364090957,7.935865209,14.8556,22.78807301,43.12444905,97.06005,214.2037698,286.6426163,142.566,65.33989457,28.07468472,15.96325,10.66453701,7.073880533,4.330895,2.721645751,2.447988089,2.82058
PF3D7_0312500,33.43659325,28.77083711,25.2296,20.5213436,14.74962556,8.696005,5.887148277,3.428916984,3.72675,3.681439474,5.195265394,11.53886,17.75443155,22.34416117,25.76545,31.55774527,35.45484491,38.25325
PF3D7_0918600,19.65989111,22.42839458,25.001,25.19283258,24.20690544,21.79385,16.53623185,8.563491876,4.14559,2.936560829,2.177713195,1.8203845,2.326952724,3.623761773,6.15098,8.617202934,12.31368877,17.0712
PF3D7_0820800,10.97427564,13.47379579,16.7168,15.03517636,12.86443663,10.573265,7.518698831,3.975145084,3.07586,2.552316069,2.252444573,2.1061935,1.881488582,1.836692588,2.175441,2.973199999,5.323501412,9.57416
PF3D7_0916000,2.287909623,2.64568029,2.98203,5.234649766,17.03044479,57.96115,134.9127786,177.1890573,67.4497,28.28545666,10.22516294,4.455535,2.756363846,2.161495048,1.891801,1.537498551,1.525232139,1.8485735
PF3D7_1001600,72.06303858,114.6837484,174.818,269.3221479,378.6960525,475.136,433.5857519,359.8187463,102.21175,61.85438562,35.24631235,19.1293,11.59279176,7.335363058,5.13369,5.754953693,12.70431558,40.60495
PF3D7_0423500,17.33614919,29.18125086,57.8077,127.1768616,349.6355556,952.4035,2050.635406,1890.893429,911.232,382.187392,127.9297624,48.8727,22.90868723,14.42515313,11.133125,6.634505192,6.930370986,11.766375
PF3D7_1440100,18.9380565,28.75488124,41.813,60.4310969,88.74063129,124.4285,148.5969223,138.0343102,34.38305,15.77545883,7.053699471,3.755925,2.618150811,2.135835283,1.9313425,2.534431996,4.882921587,11.37253
PF3D7_1227100,74.24856609,70.38093822,58.63345,46.64863697,35.65719073,26.51735,19.15947105,8.837508391,7.336375,9.066346607,12.40694543,17.5486,22.52582411,27.25182118,33.1326,44.3611144,59.70355509,73.7243
PF3D7_0210300,19.35041133,23.97085192,31.16555,37.48879257,37.27318513,30.0243,21.39545254,10.04654622,6.153795,3.302387524,2.088977717,1.768459,1.517765769,1.80055999,3.59648,6.526926259,11.09553148,16.6516
PF3D7_0403900,2.573246953,4.296693982,6.72983,10.85298409,18.90413618,33.32345,52.92504123,63.60160487,27.55095,12.72424823,5.256473257,2.644955,2.018627766,1.664556917,1.405927,1.260874339,1.260515299,1.46544
PF3D7_0712800,2.727982487,1.876703428,1.4310165,1.318580371,1.243834104,1.195645,1.291971384,1.797558,4.10648,10.93089137,19.87977236,28.66765,33.85596171,37.31376621,38.13395,23.74976424,11.08671699,4.58465
